169,1970-04-13,Kansas City,Religious Figures/Institutions,0,183
170,1970-04-13,Kansas City,Police Building,0,183
171,1970-04-14,Trona,Utilities,0,183
172,1970-04-14,Long Beach,Educational Institution,0,183
173,1970-04-14,Los Angeles,Business,0,183
174,1970-04-15,Amman,Government Building,0,102
175,1970-04-15,Los Angeles,Private Citizens,0,183
176,1970-04-15,Los Angeles,Government Building,0,183
177,1970-04-15,Los Angeles,Business,0,183
178,1970-04-16,Kansas City,Business,0,183
179,1970-04-16,Kansas City,Private Citizens,0,183
180,1970-04-16,Kansas City,Private Citizens,0,183
181,1970-04-16,Trona,Transportation,0,183
182,1970-04-17,Oakland,Police Building,2,183
183,1970-04-19,Seattle,Religious Figures/Institutions,0,183
184,1970-04-19,Seattle,Business,0,183
185,1970-04-19,Seattle,Business,0,183
186,1970-04-19,Seattle,Government Building,0,183
187,1970-04-19,Queens,Police Building,0,183
188,1970-04-20,Lawrence,Educational Institution,3,183
189,1970-04-21,Cauayan,Airports & Aircraft,36,160
190,1970-04-21,Los Angeles,Business,0,183
191,1970-04-22,Trona,Utilities,0,183
192,1970-04-22,Berkeley,Educational Institution,0,183
193,1970-04-22,Berkeley,Educational Institution,0,183
194,1970-04-22,Milwaukee,Government Building,0,183
195,1970-04-22,Urbana,Police Building,0,183
196,1970-04-22,Redlands,Educational Institution,0,183
197,1970-04-23,Aguada,Military Personnel,0,183
198,1970-04-23,Aguada,Telecommunication,0,183
199,1970-04-23,Aguada,Telecommunication,0,183
200,1970-04-23,Aguada,Police Building,0,163
201,1970-04-24,Palo Alto,Educational Institution,0,183
202,1970-04-24,Baltimore,Police Building,1,183
203,1970-04-24,New York City,Military Personnel,0,183
204,1970-04-24,New York City,Government Building,0,183
205,1970-04-25,Oakland,Business,0,183
206,1970-04-25,Seattle,Educational Institution,0,183
207,1970-04-25,Eugene,Military Personnel,0,183
208,1970-04-25,Eugene,Military Personnel,0,183
209,1970-04-25,Manhattan,Business,0,183
210,1970-04-26,Cambridge,Military Personnel,0,183
211,1970-04-26,Boston,Government Building,0,183
212,1970-04-26,Robbinsdale,Government Building,0,183
213,1970-04-27,Iowa City,Business,2,183
214,1970-04-27,New Haven,Educational Institution,0,183
215,1970-04-27,Evanston,Educational Institution,0,183
216,1970-04-27,Fullerton,Educational Institution,0,183
217,1970-04-27,Ames,Private Citizens,0,183
218,1970-04-27,St. Charles,Private Citizens,0,183
219,1970-04-28,West Berlin,Business,0,499
220,1970-04-28,Berlin,Government Building,0,499
221,1970-04-29,New York City,Police Building,0,183
222,1970-04-29,Seattle,Religious Figures/Institutions,0,183
223,1970-04-30,Denver,Police Building,0,183
224,1970-05-01,Dorchester,Religious Figures/Institutions,0,183
225,1970-05-01,New York City,Military Personnel,0,183
226,1970-05-01,Greencastle,Military Personnel,0,183
227,1970-05-01,New Haven,Educational Institution,2,183
228,1970-05-01,The Bronx,Business,10,183
229,1970-05-01,The Bronx,Business,1,183
230,1970-05-01,Champaign,Business,0,183
231,1970-05-01,Champaign,Business,0,183
232,1970-05-04,Asuncion,Government Building,1,158
233,1970-05-04,Jennings,Government Building,0,183
234,1970-05-04,Chapel Hill,Military Personnel,0,183
235,1970-05-04,Norman,Government Building,0,183
236,1970-05-04,Maryville,Military Personnel,0,183
237,1970-05-05,Berlin,Government Building,0,499
238,1970-05-05,Lewiston,Military Personnel,0,183
239,1970-05-05,Coral Gables,Educational Institution,0,183
240,1970-05-05,Orlando,Government Building,0,183
241,1970-05-05,Brooklyn,Business,2,183
242,1970-05-06,Oakland,Government Building,0,183
243,1970-05-06,Longview,Military Personnel,0,183
244,1970-05-06,Reading,Military Personnel,0,183
245,1970-05-06,Portland,Government Building,0,183
246,1970-05-06,San Pedro,Military Personnel,0,183
247,1970-05-06,Portland,Government Building,0,183
248,1970-05-06,Boston,Religious Figures/Institutions,0,183
249,1970-05-07,Manhattan,Business,0,183
250,1970-05-08,New London,Military Personnel,0,183
251,1970-05-09,New York City,Educational Institution,12,183
252,1970-05-09,Los Angeles,Government Building,0,183
